Date,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close
03/01/2000,21.4,16.12,5.4,4.374,55.22413,43.68004,108,87.4,14.6,11.5
01/02/2000,16.1,15.46,4.302,3.924,43.68004,42.12003,86,78.4,11.56,10.2
01/03/2000,15.96,15.5,4.002,3.702,42.12003,43.78402,80,74,10.2,14.06
03/04/2000,15.12,12.18,3.75,3.594,43.88805,42.38005,75,71.8,14,12.8
01/05/2000,12.18,13.4,3.594,2.88,42.38005,41.91203,71.8,57.6,12.8,12.9
01/06/2000,13.54,15.5,2.88,2.784,41.80804,47.99619,57.6,55.6,13,13.6
03/07/2000,15.7,15.8,2.904,2.352,49.92016,45.65602,58,47,14.22,13.2
01/08/2000,15.66,14.7,2.304,2.7,45.65602,44.92806,46,54,13.02,12.2
01/09/2000,14.5,15.7,2.724,2.514,45.34421,39.52002,54.4,50.2,12.06,12.32
02/10/2000,15.74,13.28,2.544,2.304,39.52002,41.80804,50.8,46,12.3,14.28
01/11/2000,13.28,13.5,2.304,2.052,41.60003,38.53202,46,41,14.28,12.24
01/12/2000,13.5,13.5,2.052,1.902,38.53202,36.14002,41,38,12.24,13
01/01/2001,13.5,13.1,1.902,2.694,36.14002,43.16004,38,53.8,13,16.5
01/02/2001,13.18,11.8,2.694,3.81,43.07684,42.30725,53.8,76.2,16.4,15.34
01/03/2001,11.8,13.61,3.804,4.392,42.27603,42.31765,76,87.8,15.34,14.97
02/04/2001,13.61,13.7,4.35,3.252,42.64003,44.74083,87,65,14.9,14.76
01/05/2001,13.7,13.2,3.252,3.702,44.74083,50.30486,65,74,14.76,19.73
01/06/2001,13.2,16.01,3.714,4.17,50.43985,50.12804,74.2,83.4,19.7,18.99
02/07/2001,16.01,16.42,4.104,3.654,50.12804,51.97911,82,73,19,18.01
01/08/2001,16.41,22.49,3.654,3.552,52.31207,49.05671,73,71,18,18.4
03/09/2001,22,21.39,3.57,2.682,48.87988,40.47683,71.4,53.6,18.3,13.72
01/10/2001,21.39,18.66,2.4,2.7,40.56002,44.20004,48,54,13.7,14.95
01/11/2001,18.66,18,2.712,2.904,44.20004,48.27696,54.2,58,15.25,17.58
03/12/2001,17.92,18.1,2.952,4.182,47.944,47.84006,59,83.6,17.5,19.1
01/01/2002,18.1,19.2,4.182,4.404,47.84006,50.4295,83.6,88,19.1,20.49
01/02/2002,19.19,19.75,4.374,3.894,50.4295,46.26975,87.4,77.8,20.49,21.37
01/03/2002,19.8,23.99,3.654,4.104,46.2801,55.36946,73,82,21.4,21.41
01/04/2002,23.9,22.9,4.05,3.804,55.22413,61.47432,81,76,21.41,25.06
01/05/2002,22.9,22.8,3.804,3.024,61.47432,60.23697,76,60.4,25.06,24.56
03/06/2002,22.8,22.29,3.054,2.55,60.23697,54.81828,61,51,24.56,22.94
01/07/2002,22.29,17.89,2.7,1.944,54.60005,49.59755,54,38.8,22.94,23.76
01/08/2002,17.89,17.19,1.944,1.614,49.40002,49.08821,38.8,32.2,23.73,24
02/09/2002,17.19,15.2,1.614,1.362,49.08821,44.16886,32.2,27.2,24,22.99
01/10/2002,15.5,15.27,1.422,1.584,44.31446,42.88962,28.4,31.6,23,22.61
01/11/2002,15.27,15.24,1.554,1.434,42.88962,49.2025,31,28.6,22.6,23.3
02/12/2002,15.31,15.39,1.44,1.764,49.6079,46.73769,28.8,35.2,23.5,25.5
01/01/2003,15.39,14.5,1.764,1.494,46.73769,42.92085,35.2,29.8,25.5,25.66
03/02/2003,14.5,15.08,1.494,1.41,42.64003,41.24642,29.8,28.2,25.66,25.97
03/03/2003,15,14.86,1.422,2.022,41.39202,39.29122,28.4,40.4,25.5,24.99
01/04/2003,14.87,16.21,2.022,2.604,39.29122,48.71341,40.4,52,24.99,28.63
01/05/2003,16.21,16.49,2.604,2.424,48.71341,47.54895,52,48.4,28.63,30
02/06/2003,16.49,17.5,2.454,2.352,47.33027,48.51588,49,47,30,29.5
01/07/2003,17.5,16.51,2.352,2.16,48.20407,52.1456,47,43.2,29.3,28
01/08/2003,16.51,16.56,2.172,2.01,51.79194,57.18949,43.4,40.2,28.1,29.39
01/09/2003,16.5,17,2.01,1.95,57.18949,57.08555,40.2,39,29.39,33.16
01/10/2003,17.1,17.15,1.95,3.192,57.08555,55.27587,39,63.8,33.25,36.01
03/11/2003,17.1,19.9,3.204,2.58,54.29858,60.13304,64,51.6,36,37.51
01/12/2003,19.9,21.09,2.604,2.604,60.06015,61.09997,52,52,37.75,39
01/01/2004,21.09,21.33,2.604,3.804,61.09997,65.0415,52,76,39,37.57
02/02/2004,21.35,24.39,3.804,3.54,65.0415,66.67435,76,70.8,39,40.45
01/03/2004,24.39,23.3,3.582,3.912,67.49596,68.87909,71.6,78.2,40.45,43.93
01/04/2004,23.3,23,3.912,3.624,69.14951,69.51351,78.2,72.4,43.93,40.4
03/05/2004,23,23.68,3.642,3.534,69.57605,68.88943,72.8,70.6,40.42,39.74
01/06/2004,23.7,24.29,3.504,3.522,69.67999,69.45142,70,70.4,39.74,40.83
01/07/2004,24.19,24.27,3.57,3.354,69.46177,67.05905,71.4,67,40.83,42
02/08/2004,24.2,24.83,3.342,3.354,66.91372,67.20484,66.8,67,42,44.84
01/09/2004,24.83,24.97,3.354,3.882,67.20484,66.65366,67,77.6,44.84,53.78
01/10/2004,25,25.99,3.882,4.032,66.87188,69.34703,77.6,80.6,53.78,54.2
01/11/2004,25.99,27.01,4.002,4.02,69.34703,75.11938,80,80.4,54.4,63.02
01/12/2004,27,28.16,4.014,4.302,75.76416,84.47916,80.2,86,62.99,70.14
03/01/2005,28.2,31.25,4.344,4.26,84.34418,87.24589,86.8,85.2,70.13,71.97
01/02/2005,31.25,32.06,4.272,4.644,87.23508,92.15434,85.4,92.8,71.97,76.8
01/03/2005,32.06,29.9,4.692,4.32,90.93769,84.38558,93.8,86.4,76.5,72.75
01/04/2005,29.9,29,4.332,4.122,84.67669,82.80492,86.6,82.4,72.7,71.41
02/05/2005,29,29.76,4.122,4.302,83.40784,86.26815,82.4,86,71.7,72.5
01/06/2005,29.76,30.98,4.26,4.38,86.21596,47.55929,85.2,87.6,72.5,70.89
01/07/2005,30.98,35.17,4.404,4.464,47.57999,51.86483,88,89.2,70.9,89.92
01/08/2005,35.17,33.1,4.464,4.224,52.51995,53.3312,89.2,84.4,89.92,88.5
01/09/2005,33.2,35.13,4.254,4.11,53.7681,58.48961,85,82.2,88.5,96.15
03/10/2005,35.13,35.75,4.11,4.194,59.27994,58.37532,82.2,83.8,96.35,91.96
01/11/2005,36.5,37.32,4.2,4.41,58.3337,61.98411,84,92.26,91.87,22.87
01/12/2005,37.41,37.04,4.4,25.81,62.23361,65.72811,95,94,22.76,22.28
02/01/2006,36.8,38.14,25.79,33.08,65.62418,71.6872,94,103.76,22.22,24.86
01/02/2006,38.16,37.11,33,31.65,71.6872,67.49618,103.75,118.42,24.86,25.61
01/03/2006,37.11,35.73,32,33.49,67.75602,73.73603,118.9,110.99,25.56,25.89
03/04/2006,35.73,34.62,33.49,34.48,73.91286,77.79207,112,119.37,25.89,28.9
02/05/2006,34.6,33,35.16,36.34,78.52008,67.11124,120,121.24,28.9,26.86
01/06/2006,33,33.72,36.34,32.07,67.91216,67.4856,121.5,106.99,28.51,26.25
03/07/2006,34,35.04,33,34.48,67.23611,32.23984,110,107.82,26.69,30.12
01/08/2006,35,35.91,34.37,37.06,32.18787,32.71824,109.8,105.85,30,32
01/09/2006,35.92,38.51,37.02,39.6,32.86391,34.47584,105.85,105.71,32.01,34.66
02/10/2006,37.81,43.07,38.99,36.9,34.31993,34.47584,105.71,114.09,34.5,38.74
01/11/2006,42.19,45.04,37.49,39.71,34.63186,37.30463,114.5,115.17,38.9,40.97
01/12/2006,45.04,54,39.71,40.75,36.9719,38.07426,115.17,130.99,40.97,42.25
